[----------] Global test environment set-up.
[----------] 2 tests from MathMatrix
[ RUN      ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small
[       OK ] MathMatrix.cholesky_decompose_cpu_vs_gpu_small (1 ms)
[ RUN      ] MathMatrix.cholesky_decompose_small
N: 90 - CPU: 64477
N: 90 - CPU: 64356
N: 90 - CPU: 64323
N: 90 - CPU: 64683
N: 90 - CPU: 64739
N: 90 - CPU: 64871
N: 90 - CPU: 64872
N: 90 - CPU: 64614
N: 90 - CPU: 64504
N: 90 - CPU: 64587
N: 90 - CPU: 64595
N: 90 - CPU: 64657
N: 90 - CPU: 64471
N: 90 - CPU: 64449
N: 90 - CPU: 64409
N: 90 - CPU: 64526
N: 90 - CPU: 64652
N: 90 - CPU: 64582
N: 90 - CPU: 64563
N: 90 - CPU: 64725
N: 90 - CPU: 64414
N: 90 - CPU: 64480
N: 90 - CPU: 64733
N: 90 - CPU: 64622
N: 90 - CPU: 64542
N: 90 - CPU: 64631
N: 90 - CPU: 64684
N: 90 - CPU: 64613
N: 90 - CPU: 64734
N: 90 - CPU: 64580
N: 90 - CPU: 64728
N: 90 - CPU: 64583
N: 90 - CPU: 64678
N: 90 - CPU: 64592
N: 90 - CPU: 64636
N: 90 - CPU: 64882
N: 90 - CPU: 64566
N: 90 - CPU: 64547
N: 90 - CPU: 64632
N: 90 - CPU: 64512
N: 90 - CPU: 64644
N: 90 - CPU: 64748
N: 90 - CPU: 64613
N: 90 - CPU: 64439
N: 90 - CPU: 64721
N: 90 - CPU: 64440
N: 90 - CPU: 64322
N: 90 - CPU: 64644
N: 90 - CPU: 69111
N: 90 - CPU: 64718
N: 90 - CPU: 64569
N: 90 - CPU: 64760
N: 90 - CPU: 64678
N: 90 - CPU: 64725
N: 90 - CPU: 64502
N: 120 - CPU: 146906
N: 120 - CPU: 124301
N: 120 - CPU: 123926
N: 120 - CPU: 124017
N: 120 - CPU: 123848
N: 120 - CPU: 124005
N: 120 - CPU: 123560
N: 120 - CPU: 123990
N: 120 - CPU: 123815
N: 120 - CPU: 123722
N: 120 - CPU: 123821
N: 120 - CPU: 123885
N: 120 - CPU: 124504
N: 120 - CPU: 123924
N: 120 - CPU: 123867
N: 120 - CPU: 123803
N: 120 - CPU: 123820
N: 120 - CPU: 126205
N: 120 - CPU: 123699
N: 120 - CPU: 123773
N: 120 - CPU: 123634
N: 120 - CPU: 123833
N: 120 - CPU: 123753
N: 120 - CPU: 123628
N: 120 - CPU: 123883
N: 120 - CPU: 123749
N: 120 - CPU: 123809
N: 120 - CPU: 123754
N: 120 - CPU: 123643
N: 120 - CPU: 124102
N: 120 - CPU: 123670
N: 120 - CPU: 123814
N: 120 - CPU: 123631
N: 120 - CPU: 123748
N: 120 - CPU: 123769
N: 120 - CPU: 123888
N: 120 - CPU: 123802
N: 120 - CPU: 123799
N: 120 - CPU: 132721
N: 120 - CPU: 124279
N: 120 - CPU: 162648
N: 120 - CPU: 124636
N: 120 - CPU: 123788
N: 120 - CPU: 123776
N: 120 - CPU: 123961
N: 120 - CPU: 123765
N: 120 - CPU: 129838
N: 120 - CPU: 123776
N: 120 - CPU: 123823
N: 120 - CPU: 123874
N: 120 - CPU: 123666
N: 120 - CPU: 123725
N: 120 - CPU: 130614
N: 120 - CPU: 123890
N: 120 - CPU: 123925
N: 120 - CPU: 123712
N: 120 - CPU: 123811
N: 120 - CPU: 123686
